month,area,generation_type,generation_gwh,source,source_note
2024-01-01,Tokyo,Gas,13551.83,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Coal,5793.39,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Solar,2094.06,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Hydro,1006.54,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Wind,386.03,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Biomass,1336.13,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Oil,624.99,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Tokyo,Other,1437.82,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Gas,3788.06,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Coal,2683.31,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Nuclear,3772.49,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Solar,738.44,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Hydro,729.96,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Wind,297.94,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Biomass,394.3,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Oil,87.23,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-01-01,Kansai,Other,294.73,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Gas,12785.21,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Coal,5546.08,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Solar,2526.43,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Hydro,1145.31,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Wind,522.82,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Biomass,1466.7,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Oil,702.38,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Tokyo,Other,1274.7,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Gas,3414.04,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Coal,2410.58,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Nuclear,3417.38,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Solar,953.27,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Hydro,700.22,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Wind,274.42,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Biomass,354.18,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Oil,329.99,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-02-01,Kansai,Other,207.28,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Gas,11929.06,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Coal,5385.09,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Solar,2489.77,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Hydro,1272.41,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Wind,504.02,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Biomass,1083.47,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Oil,971.18,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Tokyo,Other,1082.75,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Gas,3361.53,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Coal,2242.96,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Nuclear,3424.56,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Solar,1090.87,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Hydro,819.23,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Wind,340.56,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Biomass,422.34,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Oil,471.8,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-03-01,Kansai,Other,70.65,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Gas,12661.89,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Coal,5587.15,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Nuclear,0.0,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
2024-04-01,Tokyo,Solar,3111.44,synthetic_regional_generation_mix,Synthetic monthly Tokyo/Kansai generation mix for dashboard workflow. Replace with OCCTO/TSO/METI/vendor regional generation data before production use.
