date,market,region,station,temperature_mean_c,temperature_max_c,temperature_min_c,cooling_degree_day,heating_degree_day,source,source_note
2023-04-26,TOKYO_TEMP,Tokyo,Tokyo,12.8,19.04,8.8,0.0,5.2,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-04-27,TOKYO_TEMP,Tokyo,Tokyo,17.23,21.39,12.6,0.0,0.77,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-04-28,TOKYO_TEMP,Tokyo,Tokyo,15.07,19.32,9.58,0.0,2.93,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-04-29,TOKYO_TEMP,Tokyo,Tokyo,15.97,20.24,11.0,0.0,2.03,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-04-30,TOKYO_TEMP,Tokyo,Tokyo,12.56,16.8,8.41,0.0,5.44,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-01,TOKYO_TEMP,Tokyo,Tokyo,15.29,20.98,12.87,0.0,2.71,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-02,TOKYO_TEMP,Tokyo,Tokyo,15.32,19.7,11.64,0.0,2.68,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-03,TOKYO_TEMP,Tokyo,Tokyo,18.43,23.05,14.35,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-04,TOKYO_TEMP,Tokyo,Tokyo,14.04,17.81,9.95,0.0,3.96,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-05,TOKYO_TEMP,Tokyo,Tokyo,16.0,19.81,11.83,0.0,2.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-06,TOKYO_TEMP,Tokyo,Tokyo,12.8,18.81,9.55,0.0,5.2,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-07,TOKYO_TEMP,Tokyo,Tokyo,15.99,19.54,12.15,0.0,2.01,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-08,TOKYO_TEMP,Tokyo,Tokyo,15.09,20.61,11.26,0.0,2.91,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-09,TOKYO_TEMP,Tokyo,Tokyo,14.85,18.28,9.52,0.0,3.15,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-10,TOKYO_TEMP,Tokyo,Tokyo,12.62,15.1,8.58,0.0,5.38,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-11,TOKYO_TEMP,Tokyo,Tokyo,18.47,21.87,13.9,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-12,TOKYO_TEMP,Tokyo,Tokyo,17.71,23.05,13.19,0.0,0.29,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-13,TOKYO_TEMP,Tokyo,Tokyo,15.89,19.49,11.24,0.0,2.11,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-14,TOKYO_TEMP,Tokyo,Tokyo,17.77,22.31,13.32,0.0,0.23,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-15,TOKYO_TEMP,Tokyo,Tokyo,16.37,22.47,12.72,0.0,1.63,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-16,TOKYO_TEMP,Tokyo,Tokyo,15.15,19.65,11.05,0.0,2.85,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-17,TOKYO_TEMP,Tokyo,Tokyo,21.05,25.87,16.36,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-18,TOKYO_TEMP,Tokyo,Tokyo,21.25,25.06,17.53,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-19,TOKYO_TEMP,Tokyo,Tokyo,19.46,24.4,16.57,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-20,TOKYO_TEMP,Tokyo,Tokyo,18.74,25.93,13.89,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-21,TOKYO_TEMP,Tokyo,Tokyo,18.87,22.42,15.42,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-22,TOKYO_TEMP,Tokyo,Tokyo,20.02,24.88,15.98,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-23,TOKYO_TEMP,Tokyo,Tokyo,19.72,22.36,15.31,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-24,TOKYO_TEMP,Tokyo,Tokyo,19.61,22.66,15.97,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-25,TOKYO_TEMP,Tokyo,Tokyo,19.23,23.05,16.6,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-26,TOKYO_TEMP,Tokyo,Tokyo,19.79,23.5,15.6,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
2023-05-27,TOKYO_TEMP,Tokyo,Tokyo,19.72,22.59,14.46,0.0,0.0,synthetic_sample_weather,"Synthetic daily temperature shaped around Tokyo/Osaka seasonality; replace with JMA, Open-Meteo, or vendor weather data for production."
