curve_date,contract_month,market,region,price,currency,unit,contract_type,source_note
2026-04-09,2026-07-01,JKM,Japan/Korea,13.2226,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2026-08-01,JKM,Japan/Korea,13.1492,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2026-09-01,JKM,Japan/Korea,13.0135,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2026-10-01,JKM,Japan/Korea,12.9182,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2026-11-01,JKM,Japan/Korea,12.8296,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2026-12-01,JKM,Japan/Korea,12.7798,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-01-01,JKM,Japan/Korea,12.5219,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-02-01,JKM,Japan/Korea,11.8201,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-03-01,JKM,Japan/Korea,10.983,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-04-01,JKM,Japan/Korea,10.1273,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-05-01,JKM,Japan/Korea,9.3024,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-06-01,JKM,Japan/Korea,8.7348,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-07-01,JKM,Japan/Korea,8.4009,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-08-01,JKM,Japan/Korea,8.2771,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-09-01,JKM,Japan/Korea,8.0982,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-10-01,JKM,Japan/Korea,7.7491,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-11-01,JKM,Japan/Korea,7.5884,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2027-12-01,JKM,Japan/Korea,7.2609,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2028-01-01,JKM,Japan/Korea,6.9124,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2028-02-01,JKM,Japan/Korea,6.3474,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2028-03-01,JKM,Japan/Korea,5.7858,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2028-04-01,JKM,Japan/Korea,5.0499,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2028-05-01,JKM,Japan/Korea,4.5239,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
2026-04-09,2028-06-01,JKM,Japan/Korea,4.0476,USD,MMBtu,financial_forward_proxy,Synthetic LNG forward proxy. Replace with licensed JKM forward assessments.
